Product_ID,Brand,Species,Product_Name,breed_size,Type,AAFCO,life_stage,complete_and_balanced,Ingredients ( protein_source),mentioned_diet_category,not_recommended_for,good_for / recommended_for,Protein (Dry Matter%),Protein (g/1000 kcal),Fat (Dry Matter%),Fat (g/1000 kcal),Fiber (Crude) (Dry Matter%),Fiber (Crude) (g/1000 kcal),Total Dietary Fiber (TDF) (Dry Matter%),Total Dietary Fiber (TDF) (g/1000 kcal),Carbohydrate (NFE) (Dry Matter%),Carbohydrate (NFE) (g/1000 kcal),Calcium (Dry Matter%),Calcium (g/1000 kcal),Phosphorus (Dry Matter%),Phosphorus (g/1000 kcal),Potassium (Dry Matter%),Potassium (g/1000 kcal),Sodium (Dry Matter%),Sodium (g/1000 kcal),Magnesium (Dry Matter%),Magnesium (g/1000 kcal),Copper (Dry Matter (mg/kg)),Copper (mg/1000 kcal),Taurine (Dry Matter%),Taurine (g/1000 kcal),Total Omega-6Fatty Acids (g/1000 kcal),Total Omega-6Fatty Acids (Dry Matter%),Total Omega-3Fatty Acids (g/1000 kcal),Total Omega-3Fatty Acids (Dry Matter%),EPA & DHA (Dry Matter%),EPA & DHA (g/1000 kcal),Vitamin C (Dry Matter%),Vitamin C (g/1000 kcal),Vitamin E (Dry Matter (IU/kg)),Vitamin E (IU/1000 kcal),Other_Vitamins,Zinc (mg/1000 kcal),Zinc (Dry Matter (mg/kg)),Vitamin D3 (IU/1000 kcal),Vitamin D3 (Dry Matter (IU/kg)),Iodine (g/1000 kcal),Iodine (Dry Matter%),Ash (g/1000 kcal),Ash (Dry Matter%),Chloride (g/1000 kcal),Chloride (Dry Matter%),Vitamin A (Dry Matter (IU/kg)),Vitamin A (IU/1000 kcal),Biotin (Dry Matter mg/kg)),Glucosamine (Dry Matter%),Glucosamine (g/1000 kcal)
H_D_P11,Hills,Dog,i/d Stress Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Rice,Corn,Chicken,Flaxseed",",Moderate Protein,Low Fat,Low Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,urinary health,kidney health,Anxiety Support",26.1,73,7.5,21,1.8,5,5.1,14,58.5,162,0.85,2.35,0.64,1.79,0.91,2.52,0.45,1.26,0.104,0.29,,,,,4.94,1.78,1.9,0.68,,,0.0124,0.0345,678,188.4," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P12,Hills,Dog,"i/d Stress Dog Food (Rice, Vegetable & Chicken Stew)","small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Rice,Chicken,Egg,Flaxseed,carrot",",Moderate Protein,Low Fat,Moderate Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,urinary health,kidney health,Anxiety Support",23.4,64,8.7,24,1.9,5,7,19,59.3,163,0.89,2.45,0.6,1.65,0.97,2.65,0.48,1.32,0.105,0.29,,,,,6.51,2.37,1.49,0.54,,,0.0195,0.0536,910,249.9," B1,B3,B5,B12,B6,B7,B2,K,B9,D3",,,,,,,,,,,,,,,
H_D_P13,Hills,Dog,d/d Dog Food (Potato & Venison Recipe),"small,medium,large",Dry,M,Adult,Yes,"Potato,Venison","non-allergenic,Moderate Protein,Moderate Fat,Moderate Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Food Sensitivity,Healthy Immune System,Gastrointestinal Health",18.5,47,16,40,3.3,8,8.3,21,55.7,141,0.9,2.27,0.61,1.54,0.95,2.4,0.37,0.94,0.069,0.17,,,,,8.55,3.38,2.27,0.9,,,0.0109,0.0276,708,179," B3,B1,B5,B6,A,B2,B7,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P14,Hills,Dog,d/d Dog Food (Potato & Duck Recipe),"small,medium,large",Dry,M,Adult,Yes,"Potato,Duck","non-allergenic,Moderate Protein,Moderate Fat,Moderate Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Food Sensitivity,Healthy Immune System,Gastrointestinal Health",18.5,47,16,40,3.3,8,8.4,21,56.1,141,0.85,2.14,0.58,1.45,0.95,2.39,0.37,0.93,0.1,0.25,,,,,8.45,3.35,2.27,0.9,,,0.011,0.0276,707,178.2," B3,B1,B5,B6,A,B2,B7,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P15,Hills,Dog,d/d Dog Food (Potato & Salmon Recipe),"small,medium,large",Dry,M,Adult,Yes,"Potato,Salmon","non-allergenic,Moderate Protein,Moderate Fat,Moderate Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Food Sensitivity,Healthy Immune System,Gastrointestinal Health",18.5,47,16,40,3.4,9,8.4,21,55.8,141,0.85,2.14,0.65,1.64,0.95,2.4,0.39,0.98,0.1,0.25,,,,,9.19,3.64,2.37,0.94,,,0.011,0.0277,707,178.6," B3,B1,B5,B6,A,B2,B7,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P16,Hills,Dog,d/d Dog Food (Salmon Formula),"small,medium,large",Canned,M,Adult,Yes,"Salmon,Potato","non-allergenic,Moderate Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Food Sensitivity,Healthy Immune System,Gastrointestinal Health",19.2,47,16.3,40,1.8,5,6.5,16,57.2,141,0.79,1.95,0.69,1.7,0.99,2.45,0.25,0.61,0.073,0.18,,,,,12.13,4.93,4.92,2,,,0.0113,0.0277,836,205.7," B1,B3,A,B5,B7,B12,B6,B2,B9",,,,,,,,,,,,,,,
H_D_P17,Hills,Dog,d/d Dog Food (Venison Formula),"small,medium,large",Canned,M,Adult,Yes,"Potato,Venison Liver,Venison","non-allergenic,Moderate Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Food Sensitivity,Healthy Immune System,Gastrointestinal Health",19.9,49,16.5,41,2.8,7,5.2,13,55.6,138,0.79,1.97,0.61,1.51,0.92,2.26,0.31,0.77,0.068,0.17,,,,,7.36,2.98,2.73,1.1,,,0.0152,0.0376,824,203.9," B1,B3,A,B5,B12,B6,B2,K,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P18,Hills,Dog,d/d Dog Food (Duck Formula),"small,medium,large",Canned,M,Adult,Yes,"Duck,Potato,Duck Liver","non-allergenic,Low Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Food Sensitivity,Healthy Immune System,Gastrointestinal Health",17.2,43,16.4,41,3,7,6.4,16,57.2,143,0.92,2.3,0.62,1.54,0.98,2.44,0.39,0.98,0.052,0.13,,,,,13.2,5.28,2.69,1.08,,,0.0181,0.0453,800,199.8," B1,B3,B6,B5,B12,B2,B7,B9",,,,,,,,,,,,,,,
H_D_P19,Hills,Dog,Derm Complete Dog Food (Rice & Egg Recipe),"small,medium,large",Dry,M,Adult,Yes,"Brown Rice,Rice,Egg,Flaxseed","non-allergenic,Low Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Healthy Immune System,Food Sensitivity,urinary health,kidney health",17.3,42,17.4,42,1.4,3,4.4,11,59,142,0.62,1.49,0.54,1.31,0.85,2.06,0.22,0.52,0.102,0.25,,,,,10.99,4.56,4.83,2,,,0.0173,0.0418,904,217.9," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P20,Hills,Dog,Derm Complete Dog Food (Rice & Egg Recipe),"small,medium,large",Canned,M,Adult,Yes,"Rice,Rice,Egg,Flaxseed","non-allergenic,Moderate Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation,Hyperlipidemia,heart failure,pancreatitis","Skin Health,Healthy Immune System,Food Sensitivity,urinary health,kidney health",20,49,16.8,41,1.3,3,4.9,12,56.7,138,0.8,1.94,0.55,1.34,0.7,1.7,0.36,0.88,0.085,0.21,,,,,9.16,3.76,4.58,1.88,,,0.0153,0.0371,935,227.5," B3,B1,A,B5,B12,B6,B2,K,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P21,Hills,Dog,Derm Complete Puppy Dog Food (Rice & Egg Recipe),"small,medium,large",Dry,G,Growth,Yes,"Brown Rice,Egg,Flaxseed","non-allergenic,Moderate Protein,High Fat,Low Fiber,Moderate Carb","Hyperlipidemia,heart failure,pancreatitis","Skin Health,Food Sensitivity,Healthy Immune System",22.5,54,20.2,48,1.4,3,3.9,9,48.6,116,1.1,2.62,0.9,2.14,0.81,1.93,0.5,1.19,0.103,0.25,,,,,14.11,5.93,4.13,1.74,,,0.0101,0.0239,706,167.9," B3,B1,A,B5,B7,B2,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P22,Hills,Dog,z/d Dog Food (Original Flavor),"small,medium,large",Dry,M,Adult,Yes,"Corn,Chicken Liver,Chicken","non-allergenic,Moderate Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,Skin Health,Healthy Immune System,Food Sensitivity",19.8,51,14.4,37,4.7,12,6.6,17,55.5,144,0.87,2.25,0.59,1.52,0.81,2.1,0.26,0.68,0.089,0.23,,,,,11.67,4.51,1.29,0.5,,,0.0112,0.029,1031,266.7," B3,B1,A,B5,B7,B12,B6,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P23,Hills,Dog,z/d Dog Food (Original Flavor),"small,medium,large",Canned,M,Adult,Yes,"Corn,Chicken Liver,Chicken","non-allergenic,Moderate Protein,Moderate Fat,Low Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,Skin Health,Healthy Immune System,Food Sensitivity",19.8,51,14.4,37,4.7,13,6.6,17,55.5,144,0.87,2.25,0.59,1.52,0.81,2.1,0.26,0.68,0.089,0.23,,,,,11.67,4.51,1.29,0.5,,,0.0112,0.029,1031,266.7," B1,B3,B5,B12,B6,B7,D3,B2,B9",,,,,,,,,,,,,,,
H_D_P24,Hills,Dog,z/d Dog Food (Small Bites Original Flavor),small,Dry,M,Adult,Yes,"Chicken Liver,Corn","non-allergenic,Moderate Protein,Moderate Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation","Gastrointestinal Health,Skin Health,Healthy Immune System,Food Sensitivity",19.8,50,15.5,39,5,12,10.7,27,55,140,0.7,1.79,0.51,1.29,0.78,1.98,0.31,0.79,0.062,0.16,,,,,13.18,5.18,1.56,0.61,,,0.0253,0.0645,849,216.1," B3,B1,A,B5,B7,B12,B6,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P25,Hills,Dog,z/d Low Fat Dog Food (Hydrolyzed Soy Recipe),"small,medium,large",Canned,M,Adult,Yes,"Corn,Soy,Flaxseed","non-allergenic,Moderate Protein,Low Fat,Moderate Fiber,High Carb","pregnancy,lactation","Gastrointestinal Health,Skin Health,Healthy Immune System,Food Sensitivity",27,77,7.4,21,4.5,4,9.3,26,55.4,158,0.8,2.27,0.55,1.57,0.85,2.42,0.38,1.08,0.1,0.28,,,,,5.89,2.07,1.71,0.6,,,0.0123,0.0349,741,210.8," B1,B3,B5,A,B12,B6,K,B2,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P26,Hills,Dog,z/d Low Fat Dog Food (Hydrolyzed Soy Recipe),"small,medium,large",Dry,M,Adult,Yes,"Corn,Soy,Flaxseed","non-allergenic,Moderate Protein,Low Fat,Moderate Fiber,Moderate Carb","pregnancy,lactation","Gastrointestinal Health,Skin Health,Healthy Immune System,Food Sensitivity",29.9,81,9.4,25,1.3,13,9.9,27,53,143,0.9,2.42,0.72,1.95,0.99,2.68,0.37,1.01,0.115,0.31,,,,,9.14,3.38,2.03,0.75,,,0.0109,0.0295,1584,428.2," B3,B1,B6,B5,B2,A,B7,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P27,Hills,Dog,Metabolic Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Wheat,Corn,Chicken,soy,Flaxseed,Beet,tomato","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation","Healthy Immune System,Gastrointestinal Health",28,82,11.7,35,13.6,40,26.2,77,40.6,119,1.05,3.09,0.76,2.25,0.81,2.39,0.3,0.89,0.139,0.41,,,,,7.03,2.39,2.25,0.76,,,0.0209,0.0616,1093,322," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P28,Hills,Dog,Metabolic Dog Food (Lamb & Rice Formula),"small,medium,large",Dry,M,Adult,Yes,"Lamb,Rice,sorghum,Corn,Wheat,soy,Flaxseed,tomato","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation","Healthy Immune System,Gastrointestinal Health",27.2,81,11.3,34,13.3,40,23.5,70,41.4,123,1.16,3.45,0.79,2.35,0.87,2.57,0.37,1.1,0.125,0.37,,,,,6.22,2.09,3.37,1.13,,,0.02,0.0595,989,294," B3,B1,B5,A,B2,B7,B6,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P29,Hills,Dog,Metabolic Dog Food (Chicken Flavor),"small,medium,large",Canned,M,Adult,Yes,"Pork Liver,Chicken,Corn,Rice,Pork,Egg,Flaxseed","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation","Healthy Immune System,Gastrointestinal Health",27.8,81,12.9,38,14.7,43,24.2,70,39.2,114,0.78,2.26,0.59,1.71,0.81,2.35,0.4,1.15,0.09,0.26,,,,,7.35,2.53,2.27,0.78,,,0.0324,0.094,1342,389.7," B1,B3,B6,B5,B12,B2,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P30,Hills,Dog,Metabolic Dog Food (Vegetable & Chicken Stew),"small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Chicken,Rice,Pea,Flaxseed,carrot,tomato","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation","Healthy Immune System,Gastrointestinal Health",29,83,11.4,33,11.6,33,22.4,64,41.8,120,0.99,2.85,0.65,1.86,0.98,2.8,0.45,1.28,0.081,0.23,,,,,5.44,1.89,3.82,1.33,,,0.0182,0.0524,933,268.1," B1,B3,B6,K,B5,B12,B2,B7,B9,D3",,,,,,,,,,,,,,,
H_D_P31,Hills,Dog,Metabolic Dog Food (Vegtable & Beef Stew),"small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Beef,Rice,Pea,Barley,Flaxseed,carrot,tomato","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation","Healthy Immune System,Gastrointestinal Health",29.7,85,12.7,36,12.9,37,24.1,69,38.8,111,0.91,2.62,0.62,1.78,0.99,2.83,0.36,1.03,0.079,0.23,,,,,5.23,1.82,3.28,1.14,,,0.0313,0.0899,1362,391.1," B1,B3,B6,B5,B12,B2,B7,D3,B9",,,,,,,,,,,,,,,
H_D_P32,Hills,Dog,Metabolic + j/d Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Chicken,Rice,Flaxseed,soy,Corn,Wheat,beet,tomato","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation","bone and joint health,Healthy Immune System,Maintain Muscle Mass,Gastrointestinal Health",28.5,82,13.9,40,13.9,40,27.2,78,37.4,107,0.95,2.73,0.72,2.07,0.99,2.85,0.38,1.09,0.151,0.43,,,,,6.96,2.43,10.41,3.63,,,0.0113,0.0325,981,281.4," B3,B1,B6,B5,B2,B7,A,B12,B9,D3",,,,,,,,,,,,,,,
H_D_P33,Hills,Dog,Metabolic + j/d Dog Food (Vegetable & Tuna Stew),"small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Tuna,Rice,Egg,Flaxseed,carrot,spinach,tomato","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation","bone and joint health,Healthy Immune System,Maintain Muscle Mass,Gastrointestinal Health",28.1,81,14.9,43,16.3,47,29.1,84,34.6,100,0.79,2.29,0.56,1.63,0.98,2.82,0.39,1.12,0.095,0.27,,,,,5.14,1.78,9.39,3.25,,,0.015,0.0432,1206,348.3," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P34,Hills,Dog,r/d Dog Food (Chicken Flavor),"small,medium,large",Dry,,Adult,,"Corn,chicken,soy,Flaxseed,beet","High Fiber,Weight Management,High Protein,Low Fat,High Fiber,Moderate Carb","pregnancy,lactation,heart failure,kidney disease,hepatitis,debilitation,hypermetabolism,dehydration,underweight","Maintain Muscle Mass,Healthy Immune System,Gastrointestinal Health",33.9,106,8.6,27,14.6,45,26.4,82,37.2,116,0.83,2.58,0.56,1.73,0.91,2.84,0.3,0.93,0.109,0.34,,,,,8.17,2.63,1.08,0.35,,,0.0192,0.0598,681,211.8," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P35,Hills,Dog,r/d Dog Food (Chicken Flavor),"small,medium,large",Canned,,Adult,,"Pork Liver,Pork,Rice,Pea,soy","High Fiber,Weight Management,High Protein,Low Fat,High Fiber,Moderate Carb","pregnancy,lactation,heart failure,kidney disease,hepatitis,debilitation,hypermetabolism,dehydration,underweight","Maintain Muscle Mass,Healthy Immune System,Gastrointestinal Health",33.4,101,8.6,26,12.6,38,24.4,74,39.7,121,0.71,2.16,0.58,1.77,0.96,2.9,0.32,0.96,0.13,0.39,,,,,8.83,2.91,1.2,0.4,,,0.0149,0.0451,996,302.3," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P36,Hills,Dog,w/d Multi-Benefit Dog Food (Chicken Flavor),"small,medium,large",Dry,M,Adult,Yes,"Wheat,Chicken,Corn,Barley,oat,Flaxseed,beet","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,urinary problems,debilitation,dehydration,underweight","diabetes,urinary health,kidney health,Gastrointestinal Health,Maintain Muscle Mass,Healthy Immune System",20.7,61,13,38,16,47,27.6,81,45.1,132,0.8,2.35,0.66,1.93,0.78,2.29,0.27,0.79,0.099,0.29,,,,,8.87,3.02,1.04,0.35,,,0.014,0.0412,682,200.1," B3,B1,A,B5,B2,B7,B12,B6,B9,D3",,,,,,,,,,,,,,,
H_D_P37,Hills,Dog,w/d Multi-Benefit Dog Food (Chicken Flavor),"small,medium,large",Canned,M,Adult,Yes,"Pork Liver,Chicken,Corn,Barley,Egg,Flaxseed","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,urinary problems,debilitation,dehydration,underweight","diabetes,urinary health,kidney health,Gastrointestinal Health,Maintain Muscle Mass,Healthy Immune System",19.3,57,11.4,33,13.7,40,25.2,74,50.4,148,0.73,2.15,0.53,1.54,0.88,2.59,0.3,0.89,0.105,0.31,,,,,8.28,2.82,3.28,1.12,,,0.0187,0.0548,921,270.4," B1,B3,B5,B12,B6,B7,B2,B9,D3",,,,,,,,,,,,,,,
H_D_P38,Hills,Dog,w/d Multi-Benefit Dog Food (Vegetable & Chicken Stew),"small,medium,large",Stew,M,Adult,Yes,"Pork Liver,Chicken,Rice,Pea,Corn,carrot","Weight Management,Moderate Protein,Moderate Fat,High Fiber,Moderate Carb","pregnancy,lactation,urinary problems,debilitation,dehydration,underweight","diabetes,urinary health,kidney health,Gastrointestinal Health,Maintain Muscle Mass,Healthy Immune System",21.2,65,10.1,31,14.1,43,25.9,79,48.7,149,0.91,2.78,0.6,1.83,0.95,2.92,0.33,1,0.08,0.24,,,,,10.01,3.26,1.21,0.39,,,0.0297,0.0912,650,199.2," B1,B6,B3,B5,B12,B7,B2,B9,D3",,,,,,,,,,,,,,,
